prob,mean_var
"[[0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116]]","[[0.8033625116951264, 0.19663749823898116], [1.232595164407831e-32, 0.0]]"
"[[0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885]]","[[0.795945408101619, 0.20405460183248852], [0.0, 7.703719777548943e-34]]"
"[[0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258]]","[[0.7990195028213049, 0.20098050711280258], [0.0, 0.0]]"
"[[0.6532488733923639, 0.346751126607636], [0.6594448087007939, 0.34055519129920614], [0.6973076758059648, 0.3026923142599278], [0.7069220674702269, 0.29307792259566545], [0.6532488733923639, 0.346751126607636], [0.39658933279365804, 0.603410667206342], [0.6898162566799488, 0.3101837433200511], [0.39713332985068056, 0.6028666701493194], [0.39713332985068056, 0.6028666701493194], [0.39713332985068056, 0.6028666701493194]]","[[0.5647977877787362, 0.4352022102344423], [0.019062124221648952, 0.019062124767298037]]"
"[[0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397]]","[[0.7759021084205935, 0.22409790151351397], [1.232595164407831e-32, 0.0]]"
"[[0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447]]","[[0.7687212270917456, 0.23127877290825447], [0.0, 0.0]]"
"[[0.7803850833078972, 0.21961492662621027], [0.7789815137358994, 0.22101849619820815], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7789815137358994, 0.22101849619820815], [0.7789815137358994, 0.22101849619820815]]","[[0.7799640124362979, 0.22003599749780967], [4.137015841220168e-07, 4.137015841220496e-07]]"
"[[0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7794163489450314, 0.2205836609890762], [0.778461924115217, 0.22153808581889045], [0.7794163489450314, 0.2205836609890762], [0.7794163489450314, 0.2205836609890762], [0.7794163489450314, 0.2205836609890762], [0.7794163489450314, 0.2205836609890762], [0.7794163489450314, 0.2205836609890762], [0.778461924115217, 0.22153808581889045]]","[[0.7795061778934681, 0.22049383204063946], [5.68117619863664e-07, 5.681176198636265e-07]]"
"[[0.7609102000386101, 0.2390897999613899], [0.7609102000386101, 0.2390897999613899], [0.7595066304666123, 0.24049336953338782], [0.7585522056367978, 0.24144779436320207], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7609102000386101, 0.2390897999613899], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782]]","[[0.7598322588552302, 0.24016774114476985], [5.760610911341935e-07, 5.760610911341976e-07]]"
"[[0.7695987370097748, 0.23040126299022531], [0.7695987370097748, 0.23040126299022531], [0.7695987370097748, 0.23040126299022531], [0.7695987370097748, 0.23040126299022531], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954]]","[[0.7690260821118862, 0.23097391788811383], [2.1862242138381967e-07, 2.1862242138381967e-07]]"
"[[0.781071111489703, 0.21892889844440452], [0.7796675419177052, 0.22033246801640247], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452]]","[[0.7809307545325032, 0.21906925540160432], [1.7730067890943583e-07, 1.7730067890946386e-07]]"
"[[0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385]]","[[0.75110337565615, 0.24889662434385001], [1.232595164407831e-32, 7.703719777548943e-34]]"
"[[0.7985606539618227, 0.2014393559722846], [0.7985606539618227, 0.2014393559722846], [0.7985606539618227, 0.2014393559722846], [0.7987469410246634, 0.20125306890944414], [0.7985606539618227, 0.2014393559722846], [0.7977959510878249, 0.20220405884628248], [0.7977959510878249, 0.20220405884628248], [0.7977959510878249, 0.20220405884628248], [0.7977959510878249, 0.20220405884628248], [0.7987469410246634, 0.20125306890944414]]","[[0.7982920302247918, 0.20170797970931567], [1.686900560600908e-07, 1.686900560600605e-07]]"
"[[0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927]]","[[0.8055478375506782, 0.1944521723834293], [1.232595164407831e-32, 7.703719777548943e-34]]"
"[[0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358]]","[[0.7979726849507494, 0.20202732498335801], [1.232595164407831e-32, 7.703719777548943e-34]]"
"[[0.7718289578064473, 0.22817104219355255], [0.7560098519749766, 0.24399014802502342], [0.7560098519749766, 0.24399014802502342], [0.7560098519749766, 0.24399014802502342], [0.7560098519749766, 0.24399014802502342], [0.7560098519749766, 0.24399014802502342], [0.7560098519749766, 0.24399014802502342], [0.7560098519749766, 0.24399014802502342], [0.7560098519749766, 0.24399014802502342], [0.7560098519749766, 0.24399014802502342]]","[[0.7575917625581237, 0.24240823744187634], [2.2521969837654403e-05, 2.2521969837654792e-05]]"
"[[0.6510555490583675, 0.34894445094163246], [0.6676671331399077, 0.33233285692598485], [0.3568737393108765, 0.6431262507550161], [0.3568737393108765, 0.6431262507550161], [0.36209805345826757, 0.637901936607625], [0.3621118345489718, 0.6378881555169208], [0.3568737393108765, 0.6431262507550161], [0.3677032323984341, 0.6322967576674584], [0.3677032323984341, 0.6322967576674584], [0.3677032323984341, 0.6322967576674584]]","[[0.42166634853334467, 0.5783336425259586], [0.014156121359715598, 0.01415612090396022]]"
"[[0.6761682139350166, 0.32383177613087594], [0.6654883066298235, 0.33451169337017655], [0.7090288774574572, 0.2909711126084354], [0.7090288774574572, 0.2909711126084354], [0.6654883066298235, 0.33451169337017655], [0.4263927119250083, 0.5736072880749916], [0.6654883066298235, 0.33451169337017655], [0.7053117320343842, 0.29468825803150833], [0.7148990376627468, 0.28510095240314565], [0.7090288774574572, 0.2909711126084354]]","[[0.6646323247818997, 0.3353676692576357], [0.006698810625420608, 0.006698811093658161]]"
"[[0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516]]","[[0.7677334642243547, 0.23226653577564518], [0.0, 7.703719777548943e-34]]"
"[[0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144]]","[[0.7506164904051386, 0.2493835095948614], [0.0, 7.703719777548943e-34]]"
"[[0.7525416900258709, 0.2474583099741291], [0.7523405944014344, 0.2476594055985657], [0.75138616957162, 0.24861383042837992], [0.75138616957162, 0.24861383042837992], [0.7525416900258709, 0.2474583099741291], [0.7525416900258709, 0.2474583099741291], [0.7525416900258709, 0.2474583099741291], [0.7525416900258709, 0.2474583099741291], [0.7525416900258709, 0.2474583099741291], [0.7525416900258709, 0.2474583099741291]]","[[0.7522904763725771, 0.24770952362742288], [2.079811494539722e-07, 2.079811494539309e-07]]"
"[[0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443]]","[[0.8013278985416644, 0.198672111392443], [0.0, 0.0]]"
"[[0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273]]","[[0.8046478579066573, 0.1953521420933427], [0.0, 7.703719777548943e-34]]"
"[[0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144]]","[[0.7703063268612784, 0.22969367313872144], [1.232595164407831e-32, 0.0]]"
"[[0.6670622496941983, 0.33293775030580175], [0.666697234012206, 0.333302765987794], [0.6670622496941983, 0.33293775030580175], [0.666697234012206, 0.333302765987794], [0.6648034063169602, 0.3351965936830396], [0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794]]","[[0.6665808543790799, 0.33341914562092007], [3.717614045414819e-07, 3.7176140454141367e-07]]"
"[[0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805]]","[[0.7747579418667919, 0.22524205813320805], [0.0, 0.0]]"
