prob,mean_var
"[[0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.6101105003489248, 0.38988949965107517], [0.6221064972075662, 0.3778935027924339], [0.634515711299707, 0.3654842887002929], [0.6360633303473261, 0.36393666965267396], [0.634515711299707, 0.3654842887002929], [0.6324318940329628, 0.3675681059670371]]","[[0.6200885926043938, 0.37991140739560625], [0.0001532924531572724, 0.00015329245315727342]]"
"[[0.5906084783251102, 0.4093915216748898], [0.5655168814477286, 0.43448311855227145], [0.5631919514757397, 0.43680804852426025], [0.5706069715378187, 0.42939302846218136], [0.5631919514757397, 0.43680804852426025], [0.5631919514757397, 0.43680804852426025], [0.5631919514757397, 0.43680804852426025], [0.5631919514757397, 0.43680804852426025], [0.5631919514757397, 0.43680804852426025], [0.5631919514757397, 0.43680804852426025]]","[[0.5669075991640836, 0.43309240083591644], [6.739933889389883e-05, 6.739933889389881e-05]]"
"[[0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.763331616792191, 0.23666838320780914], [0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.7619982834588576, 0.23800171654114247], [0.7619982834588576, 0.23800171654114247], [0.7619982834588576, 0.23800171654114247]]","[[0.7634194216702397, 0.23658057832976037], [9.222129684711484e-07, 9.222129684711499e-07]]"
"[[0.6703512465573551, 0.32964875344264494], [0.6703512465573551, 0.32964875344264494], [0.6848758297849086, 0.3151241702150914], [0.6848758297849086, 0.3151241702150914], [0.6864234488325276, 0.31357655116747235], [0.6848758297849086, 0.3151241702150914], [0.6848758297849086, 0.3151241702150914], [0.6819790043880832, 0.3180209956119168], [0.6819790043880832, 0.3180209956119168], [0.6797273149334234, 0.32027268506657663]]","[[0.6810314584796462, 0.3189685415203538], [3.1982065319290815e-05, 3.19820653192911e-05]]"
"[[0.7031373412511774, 0.2968626587488224], [0.699659598156671, 0.30034040184332894], [0.5426159925501914, 0.45738400744980856], [0.5357427699299809, 0.4642572300700191], [0.5426159925501914, 0.45738400744980856], [0.540832860020071, 0.45916713997992903], [0.5334368875770398, 0.4665631124229603], [0.540832860020071, 0.45916713997992903], [0.5426159925501914, 0.45738400744980856], [0.5334368875770398, 0.4665631124229603]]","[[0.5714927182182625, 0.4285072817817375], [0.004231325684621988, 0.004231325684621995]]"
"[[0.31793997989734196, 0.6820600201026581], [0.3186470506044127, 0.6813529493955873], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285]]","[[0.31673163765135265, 0.6832683623486473], [6.348628582140879e-07, 6.348628582140744e-07]]"
"[[0.7303646436044207, 0.2696353563955794], [0.7303646436044207, 0.2696353563955794], [0.7303646436044207, 0.2696353563955794], [0.7293646436044207, 0.2706353563955794], [0.7293646436044207, 0.2706353563955794], [0.7282000565574807, 0.2717999434425194], [0.7293646436044207, 0.2706353563955794], [0.7293646436044207, 0.2706353563955794], [0.7293646436044207, 0.2706353563955794], [0.7293646436044207, 0.2706353563955794]]","[[0.7295481848997267, 0.2704518151002734], [4.019388919074397e-07, 4.019388919074397e-07]]"
"[[0.7527749685749981, 0.24722503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7527749685749981, 0.24722503142500182], [0.7527749685749981, 0.24722503142500182], [0.7527749685749981, 0.24722503142500182], [0.7527749685749981, 0.24722503142500182], [0.7527749685749981, 0.24722503142500182], [0.7527749685749981, 0.24722503142500182], [0.7516103815280583, 0.24838961847194177]]","[[0.7528585098703042, 0.24714149012969583], [3.2864715096865254e-07, 3.2864715096862564e-07]]"
"[[0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028]]","[[0.7354154570383971, 0.26458454296160283], [0.0, 3.0814879110195774e-33]]"
"[[0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7594937546768893, 0.2405062353890033], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7594937546768893, 0.2405062353890033], [0.7594937546768893, 0.2405062353890033], [0.7587790479276997, 0.24122094213819278]]","[[0.7587235317738062, 0.2412764582920862], [2.715950472404851e-07, 2.7159504724042067e-07]]"
