prob,mean_var
"[[0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116]]","[[0.8033625116951264, 0.19663749823898116], [1.232595164407831e-32, 0.0]]"
"[[0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885]]","[[0.795945408101619, 0.20405460183248852], [0.0, 7.703719777548943e-34]]"
"[[0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258]]","[[0.7990195028213049, 0.20098050711280258], [0.0, 0.0]]"
"[[0.6507315472130659, 0.3492684527869341], [0.6507315472130659, 0.3492684527869341], [0.6507315472130659, 0.3492684527869341], [0.39658933279365804, 0.603410667206342], [0.3915419320012183, 0.6084580679987818], [0.39713332985068056, 0.6028666701493194], [0.6898162566799488, 0.3101837433200511], [0.6898162566799488, 0.3101837433200511], [0.6898162566799488, 0.3101837433200511], [0.6898162566799488, 0.3101837433200511]]","[[0.589672426300455, 0.410327573699545], [0.016490787322327977, 0.01649078732232798]]"
"[[0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397]]","[[0.7759021084205935, 0.22409790151351397], [1.232595164407831e-32, 0.0]]"
"[[0.7687212270917456, 0.23127877290825447], [0.7696756519215598, 0.23032434807844024], [0.7696756519215598, 0.23032434807844024], [0.7696756519215598, 0.23032434807844024], [0.7696756519215598, 0.23032434807844024], [0.7696756519215598, 0.23032434807844024], [0.7696756519215598, 0.23032434807844024], [0.7696756519215598, 0.23032434807844024], [0.7710792214935577, 0.2289207785064423], [0.7696756519215598, 0.23032434807844024]]","[[0.7697205663957781, 0.2302794336042219], [2.860761199260973e-07, 2.860761199261275e-07]]"
"[[0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7789815137358994, 0.22101849619820815], [0.7789815137358994, 0.22101849619820815], [0.7789815137358994, 0.22101849619820815], [0.7803850833078972, 0.21961492662621027], [0.7789815137358994, 0.22101849619820815], [0.7789815137358994, 0.22101849619820815], [0.7789815137358994, 0.22101849619820815], [0.7789815137358994, 0.22101849619820815]]","[[0.7794025846074988, 0.2205974253266088], [4.137015841220168e-07, 4.137015841220496e-07]]"
"[[0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7794163489450314, 0.2205836609890762], [0.7808199185170293, 0.21918009141707828], [0.7794163489450314, 0.2205836609890762], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828]]","[[0.7805392046026297, 0.21946080533147788], [3.152012069501081e-07, 3.1520120695014544e-07]]"
"[[0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7585522056367978, 0.24144779436320207], [0.7585522056367978, 0.24144779436320207]]","[[0.7593157455006494, 0.24068425449935066], [1.4574828092261428e-07, 1.4574828092255493e-07]]"
"[[0.7695987370097748, 0.23040126299022531], [0.7695987370097748, 0.23040126299022531], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954]]","[[0.7688351971459234, 0.23116480285407665], [1.4574828092254646e-07, 1.457482809225465e-07]]"
"[[0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452], [0.781071111489703, 0.21892889844440452]]","[[0.7810711114897029, 0.21892889844440452], [1.232595164407831e-32, 0.0]]"
"[[0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7511033756561499, 0.24889662434385], [0.7441213548724014, 0.25587864512759867], [0.7478673866184331, 0.25213261338156695]]","[[0.7500815746740035, 0.24991842532599656], [4.877946680576382e-06, 4.877946680576608e-06]]"
"[[0.7987469410246634, 0.20125306890944414], [0.7987469410246634, 0.20125306890944414], [0.7987469410246634, 0.20125306890944414], [0.7987469410246634, 0.20125306890944414], [0.7987469410246634, 0.20125306890944414], [0.7985606539618227, 0.2014393559722846], [0.7977959510878249, 0.20220405884628248], [0.7977959510878249, 0.20220405884628248], [0.7977959510878249, 0.20220405884628248], [0.7987469410246634, 0.20125306890944414]]","[[0.7984430153373279, 0.20155699459677973], [1.8241402154618583e-07, 1.8241402154612508e-07]]"
"[[0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8055478375506783, 0.19445217238342927], [0.8045968476138398, 0.19540316232026764], [0.8045968476138398, 0.19540316232026764], [0.8045968476138398, 0.19540316232026764]]","[[0.8052625405696267, 0.19473746936448078], [1.899201905933033e-07, 1.899201905932479e-07]]"
"[[0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358], [0.7979726849507495, 0.202027324983358], [0.7970216950139112, 0.20297831492019636], [0.6328674621370493, 0.3671325378629508], [0.6328674621370493, 0.3671325378629508], [0.6328674621370493, 0.3671325378629508], [0.6229280057760032, 0.37707199422399684]]","[[0.7308415511954809, 0.26915845476498357], [0.006735485669765709, 0.006735484871389706]]"
"[[0.7904306513561052, 0.20956934864389484], [0.7903590752382673, 0.20964092476173268], [0.7983663938932858, 0.20163360610671424], [0.7833587431684442, 0.2166412568315558], [0.7718289578064473, 0.22817104219355255], [0.7718289578064473, 0.22817104219355255], [0.7718289578064473, 0.22817104219355255], [0.7718289578064473, 0.22817104219355255], [0.7833587431684442, 0.2166412568315558], [0.7718289578064473, 0.22817104219355255]]","[[0.7805018395856783, 0.21949816041432163], [9.073068864377215e-05, 9.073068864377091e-05]]"
"[[0.36209805345826757, 0.637901936607625], [0.6403758006988937, 0.35962418936699886], [0.36209805345826757, 0.637901936607625], [0.3568737393108765, 0.6431262507550161], [0.3621118345489718, 0.6378881555169208], [0.3621118345489718, 0.6378881555169208], [0.3621118345489718, 0.6378881555169208], [0.3568737393108765, 0.6431262507550161], [0.3568737393108765, 0.6431262507550161], [0.3568737393108765, 0.6431262507550161]]","[[0.387840236850585, 0.6121597532153077], [0.007092107895427866, 0.007092107895427868]]"
"[[0.7090288774574572, 0.2909711126084354], [0.7090288774574572, 0.2909711126084354], [0.7090288774574572, 0.2909711126084354], [0.7090288774574572, 0.2909711126084354], [0.6761682139350166, 0.32383177613087594], [0.4263927119250083, 0.5736072880749916], [0.6654883066298235, 0.33451169337017655], [0.4263927119250083, 0.5736072880749916], [0.6654883066298235, 0.33451169337017655], [0.6654883066298235, 0.33451169337017655]]","[[0.6361534067504333, 0.36384658828251304], [0.011342522895719229, 0.011342523554383727]]"
"[[0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516], [0.7677334642243547, 0.23226653577564516]]","[[0.7677334642243547, 0.23226653577564518], [0.0, 7.703719777548943e-34]]"
"[[0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144], [0.7506164904051386, 0.24938350959486144]]","[[0.7506164904051386, 0.2493835095948614], [0.0, 7.703719777548943e-34]]"
"[[0.7525416900258709, 0.2474583099741291], [0.7525416900258709, 0.2474583099741291], [0.7525416900258709, 0.2474583099741291], [0.75138616957162, 0.24861383042837992], [0.7525416900258709, 0.2474583099741291], [0.7525416900258709, 0.2474583099741291], [0.7525416900258709, 0.2474583099741291], [0.7523405944014344, 0.2476594055985657], [0.7525416900258709, 0.2474583099741291], [0.7525416900258709, 0.2474583099741291]]","[[0.7524060284180022, 0.24759397158199783], [1.1916262518644655e-07, 1.1916262518642532e-07]]"
"[[0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443], [0.8013278985416644, 0.198672111392443]]","[[0.8013278985416644, 0.198672111392443], [0.0, 0.0]]"
"[[0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273], [0.8046478579066573, 0.19535214209334273]]","[[0.8046478579066573, 0.1953521420933427], [0.0, 7.703719777548943e-34]]"
"[[0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144], [0.7703063268612785, 0.22969367313872144]]","[[0.7703063268612784, 0.22969367313872144], [1.232595164407831e-32, 0.0]]"
"[[0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794], [0.666697234012206, 0.333302765987794]]","[[0.666697234012206, 0.33330276598779396], [0.0, 3.0814879110195774e-33]]"
"[[0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805], [0.7747579418667919, 0.22524205813320805]]","[[0.7747579418667919, 0.22524205813320805], [0.0, 0.0]]"
