prob,mean_var
"[[0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.606759929351295, 0.393240070648705], [0.606759929351295, 0.393240070648705], [0.606759929351295, 0.393240070648705], [0.606759929351295, 0.393240070648705], [0.6134265960179617, 0.3865734039820384], [0.606759929351295, 0.393240070648705], [0.606759929351295, 0.393240070648705], [0.606759929351295, 0.393240070648705]]","[[0.6076317242230898, 0.39236827577691014], [3.894806048652255e-06, 3.894806048652119e-06]]"
"[[0.5906084783251102, 0.4093915216748898], [0.5655168814477286, 0.43448311855227145], [0.5706069715378187, 0.42939302846218136], [0.5871850549016868, 0.41281494509831324], [0.5778327820574721, 0.422167217942528], [0.5801059527891793, 0.41989404721082063], [0.5871850549016868, 0.41281494509831324], [0.5778327820574721, 0.422167217942528], [0.5871850549016868, 0.41281494509831324], [0.6886010221451041, 0.31139897785489595]]","[[0.5912660035064945, 0.40873399649350556], [0.0011099763114977867, 0.001109976311497787]]"
"[[0.7641446249222722, 0.23585537507772783], [0.763331616792191, 0.23666838320780914], [0.763331616792191, 0.23666838320780914], [0.7619982834588576, 0.23800171654114247], [0.7583871723477466, 0.24161282765225356], [0.7619982834588576, 0.23800171654114247], [0.7619982834588576, 0.23800171654114247], [0.7619982834588576, 0.23800171654114247], [0.7583871723477466, 0.24161282765225356], [0.7557700051997186, 0.24422999480028143]]","[[0.7611345342237297, 0.23886546577627046], [6.557340680812947e-06, 6.557340680812964e-06]]"
"[[0.6864234488325276, 0.31357655116747235], [0.6848758297849086, 0.3151241702150914], [0.6864234488325276, 0.31357655116747235], [0.6864234488325276, 0.31357655116747235], [0.6848758297849086, 0.3151241702150914], [0.6848758297849086, 0.3151241702150914], [0.6864234488325276, 0.31357655116747235], [0.6819790043880832, 0.3180209956119168], [0.6819790043880832, 0.3180209956119168], [0.6819790043880832, 0.3180209956119168]]","[[0.6846258297849086, 0.3153741702150914], [3.4130291005289736e-06, 3.4130291005291418e-06]]"
"[[0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224]]","[[0.7031373412511774, 0.29686265874882245], [0.0, 3.0814879110195774e-33]]"
"[[0.3186470506044127, 0.6813529493955873], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285], [0.3163411682514715, 0.6836588317485285]]","[[0.3165717564867656, 0.6834282435132343], [4.785384083044904e-07, 4.785384083044905e-07]]"
"[[0.7295516354743393, 0.27044836452566073], [0.7303646436044207, 0.2696353563955794], [0.7303646436044207, 0.2696353563955794], [0.7303646436044207, 0.2696353563955794], [0.7303646436044207, 0.2696353563955794], [0.7303646436044207, 0.2696353563955794], [0.7303646436044207, 0.2696353563955794], [0.7303646436044207, 0.2696353563955794], [0.7303646436044207, 0.2696353563955794], [0.7303646436044207, 0.2696353563955794]]","[[0.7302833427914125, 0.2697166572085875], [5.948839976205192e-08, 5.948839976205192e-08]]"
"[[0.7537749685749983, 0.24622503142500182], [0.7527749685749981, 0.24722503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182]]","[[0.7536749685749982, 0.24632503142500178], [9.000000000002016e-08, 9.000000000000017e-08]]"
"[[0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028]]","[[0.7354154570383971, 0.26458454296160283], [0.0, 3.0814879110195774e-33]]"
"[[0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326]]","[[0.7583291676299491, 0.24167082243594326], [1.232595164407831e-32, 0.0]]"
